initial_account,next_account,step,amount,newbalanceorig
C1305486145,C553264065,1,181.00,0.00
C1420196421,C972765878,1,2806.00,0.00
C137533655,C1848415041,1,20128.00,0.00
C1334405552,C431687661,1,1277212.77,0.00
C1364127192,C1136419747,1,35063.63,0.00
C669700766,C1384210339,1,25071.46,0.00
C1872047468,C116289363,1,235238.66,0.00
C1093223281,C2063275841,2,1096187.24,0.00
C1440057381,C268086000,2,963532.14,0.00
C140702728,C634210724,2,14949.84,0.00
C1375503918,C234430897,2,18627.02,0.00
C1134864869,C118648358,3,10539.37,0.00
C1247938090,C1002031672,3,22877.00,0.00
C7162498,C945327594,4,10000000.00,2930418.44
C2047521920,C449261773,4,2930418.44,0.00
C540962910,C2127862399,4,169941.73,0.00
C17222024,C410033330,4,13707.11,0.00
C1844941220,C1191544932,4,86070.17,0.00
C1409933277,C162114152,5,120074.73,0.00
C383882703,C1807010830,5,60726.57,0.00
C1775746074,C746009679,5,10119.47,0.00
C2025652936,C1662235713,6,33332.86,0.00
C864622150,C41792607,6,25975.86,0.00
C457596841,C1956477953,6,26768.50,0.00
C903383636,C904300960,6,30521.02,0.00
C666642000,C1315078366,6,216422.00,0.00
C788790720,C1589547066,6,17320.91,0.00
C1034673425,C1379589736,6,17246.00,0.00
C777407608,C1790657739,6,10565.00,0.00
C365589282,C908043384,6,10224.00,0.00
C558400671,C527482085,6,85354.69,0.00
C1735554279,C12793273,6,13704.00,0.00
C2101686389,C612008977,7,262434.54,0.00
C1686905633,C824421402,7,21729.00,0.00
C666654362,C1726301214,7,5460002.91,0.00
C1455969984,C2119910556,7,164.00,0.00
C786114805,C1666314150,7,21571.00,0.00
C1023505879,C847761155,7,441445.58,0.00
C1961506277,C378841819,8,222.00,0.00
C1198040187,C1828047633,8,1996.17,0.00
C1026280121,C277510102,8,1078013.76,0.00
C74534388,C1748042844,8,89631.24,0.00
C1825456600,C570409417,8,29707.86,0.00
C1683174795,C427998326,8,43092.00,0.00
C1769581889,C217441120,9,556218.01,0.00
C299933576,C1060999444,9,11308.00,0.00
C1452168793,C399194578,9,350705.74,0.00
C394488466,C575638324,9,2539898.07,0.00
C1287719145,C352239275,9,361559.69,0.00
C670587931,C150406565,9,1154353.99,0.00
C102617052,C760675871,9,21922.00,0.00
C1121789613,C254839817,9,994453.20,442917.67
C666486325,C279565067,9,1055.00,0.00
C1087133093,C1855553543,9,244068.01,0.00
C1568400442,C1262169546,10,59835.00,0.00
C481501970,C1262577882,10,93810.76,0.00
C1446009472,C2010733400,10,503405.88,0.00
C1182702586,C2143409210,10,2662734.59,0.00
C184586799,C812377986,10,9217.19,0.00
C785601242,C1576053316,11,2100.00,0.00
C1706582969,C461905695,11,1933920.80,0.00
C711446907,C888769567,11,313418.28,0.00
C2079232448,C585834595,11,12461.00,0.00
C1101705841,C925285469,12,19472.00,0.00
C576568419,C1571546632,12,3964129.99,0.00
C345293642,C937194908,12,1041647.06,0.00
C1223631235,C1281019843,12,2066467.64,0.00
C439464764,C562360384,12,2007.00,0.00
C288028999,C184294001,12,8677.00,0.00
C2021466585,C1864486913,13,408.00,0.00
C920803432,C1767389067,13,48375.02,0.00
C735463888,C1548348754,13,4022667.54,0.00
C1864459372,C537531657,13,1161495.82,0.00
C364029634,C2041291172,13,2686564.04,0.00
C135832352,C2009346140,13,6188514.81,0.00
C2143112877,C1755380031,13,123194.95,0.00
C1374377088,C207611232,14,2093951.47,0.00
C1960144830,C801162238,14,143032.00,0.00
C2081788795,C2138456206,14,2927005.15,0.00
C439830884,C1133002328,14,1832319.42,0.00
C736093511,C1224081716,14,1561891.66,0.00
C236875489,C528705657,14,65488.05,0.00
C968403759,C1524019269,15,696763.08,0.00
C1995557473,C1480876722,15,119.00,0.00
C1012580160,C540657255,15,128473.62,0.00
C1474711983,C1009564356,15,248056.41,0.00
C1761347420,C383804904,15,164500.81,0.00
C378910639,C1881567873,15,212089.74,0.00
C553034695,C26381896,15,170.00,0.00
C1695793096,C849010584,15,747282.40,0.00
C1275373422,C1704707395,15,59385.67,0.00
C752563135,C247007952,16,2198224.71,0.00
C1422357582,C366986030,16,828720.89,0.00
C494334546,C428725863,16,2701905.30,0.00
C457962127,C614104997,16,31074.00,0.00
C185016231,C1409959,16,121626.82,0.00
C15998296,C1652158314,17,1639676.27,0.00
C1711670940,C385061535,17,305627.00,0.00
C1420261366,C639808302,17,195351.76,0.00
C1726326177,C1540448785,18,295664.18,0.00
C1066119351,C702410034,18,307739.18,0.00
C590103740,C1610372134,18,1102133.90,0.00
C1218322192,C1107369132,18,1144089.37,0.00
C745648946,C1091334879,18,1974352.30,0.00
C370107492,C1680789799,18,11481.00,0.00
C1592623877,C87183368,18,9131.00,0.00
C1156611770,C742977582,19,143660.11,0.00
C767243506,C1532877354,19,3477438.49,0.00
C263177591,C94435408,19,161939.36,0.00
C416779475,C380259496,19,10000000.00,1861008.32
C1990303942,C1308678191,19,1861008.32,0.00
C2080146129,C748889213,20,16614.82,0.00
C1976637754,C4020115,20,448025.06,0.00
C1204079316,C637091706,21,785323.00,0.00
C278180302,C1551346623,21,158299.34,0.00
C1332180070,C2027621451,22,346704.55,0.00
C1765744035,C788887602,22,461509.86,0.00
C362085592,C1652057111,22,37100.29,0.00
C480136801,C160106315,22,235512.20,0.00
C1472367087,C52390890,22,2068118.36,0.00
C1239771149,C1699565892,22,74804.24,0.00
C869780206,C926230389,22,489767.32,0.00
C336424141,C404961694,22,379878.00,0.00
C1209224134,C314012937,22,1258956.71,0.00
C834571675,C312865842,22,77773.14,0.00
C1977304181,C1053513851,22,239646.72,0.00
C1866778945,C225469649,23,146127.10,0.00
C71665357,C1607901570,24,291305.98,0.00
C1702714599,C83459379,24,986876.27,0.00
C997222163,C761549792,24,6844.73,0.00
C282822245,C1731493383,25,8383.17,0.00
C763225876,C1927695058,25,781953.11,0.00
C1527375688,C658289217,25,217231.00,0.00
C589374615,C1612426642,25,44829.81,0.00
C1473328942,C1650053869,25,296333.54,0.00
C556483673,C946378506,25,18126.95,0.00
C862942009,C1488413166,25,249159.26,0.00
C1865185181,C388097316,25,1698263.69,0.00
C127098115,C1570699013,25,802382.45,0.00
C1952239554,C399460584,26,37065.55,0.00
C1879175902,C900709443,26,369186.87,0.00
C1482114822,C2123466960,26,78741.64,0.00
C700083141,C1359428492,26,1646181.09,0.00
C1549516546,C1908627867,26,331829.94,0.00
C414159853,C1087566727,26,1027152.36,0.00
C1529468267,C1924171481,27,494244.61,0.00
C699198167,C2064246111,27,329937.88,0.00
C842027258,C136618845,27,496128.26,0.00
C361429301,C550179566,27,1218165.88,0.00
C1279307827,C1124913173,28,3832058.34,0.00
C1029198062,C1534111155,28,491517.77,0.00
C491994230,C772681684,29,340198.41,0.00
C775733773,C2121303056,29,268641.82,0.00
C1279213624,C2100791242,30,122235.11,0.00
C1273047168,C1636242484,30,236947.25,0.00
C182136548,C717672329,30,19016.22,0.00
C2037269206,C337579043,30,109401.88,0.00
C1775717184,C1987320319,31,335219.49,0.00
C237098657,C1177827371,31,120406.39,0.00
C551376615,C2121782042,31,21516.38,0.00
C620879020,C929929591,31,378204.02,0.00
C1848562108,C1803198527,31,5021186.54,0.00
C1909564191,C2047987632,31,587031.20,0.00
C1128786535,C9901046,32,81867.07,0.00
C306405849,C193080093,32,2023920.09,0.00
C1458768825,C206316722,32,404165.06,0.00
C107615831,C144473930,32,1164448.96,0.00
C2084058641,C1017580631,32,401575.19,0.00
C1769820937,C1536446312,32,604933.67,0.00
C1152596026,C1976114093,33,3295227.84,0.00
C304547800,C155793474,33,214975.90,0.00
C1439740840,C875288652,33,10000000.00,9887819.06
C1548903046,C2065423383,33,9887819.06,0.00
C101899927,C679483948,33,1448630.38,0.00
C67311634,C674603923,33,6648389.90,0.00
C1887135298,C1119742908,34,51424.22,0.00
C711340026,C674486348,34,428239.03,0.00
C437611850,C830293590,34,52557.21,0.00
C2112073607,C399994587,34,1462355.44,0.00
C722855847,C866867675,34,27951.26,0.00
C2035691205,C2145664965,34,989311.12,0.00
C321662798,C1466511502,34,865948.49,0.00
C1302461032,C1058590682,34,30917.39,0.00
C262165422,C847172802,34,40458.00,0.00
C638438531,C2146216948,34,1016540.35,0.00
C1103482150,C2145121206,34,71693.42,0.00
C892010542,C935310781,35,472692.51,0.00
C133342319,C1919617921,35,122032.62,0.00
C1054903406,C755069790,35,3606943.31,0.00
C392119936,C1283539626,35,171788.82,0.00
C851016578,C1650562969,35,9465988.82,0.00
C1322100754,C580058151,35,454511.73,0.00
C828966021,C253711141,35,136983.26,0.00
C237051726,C1684081981,36,326884.31,0.00
C1498028072,C70360442,36,2352524.18,0.00
C226697568,C1045024523,36,113338.99,0.00
C1027885522,C201404620,36,886592.76,0.00
C2020161235,C1827219533,36,819503.92,0.00
C1819371332,C59681246,36,636.00,0.00
C1291212648,C301302016,36,32382.96,0.00
C383698470,C761769299,36,103056.00,0.00
C397247453,C227472046,36,1684039.12,0.00
C1032918138,C34257403,37,1842.00,0.00
C1482673200,C1127207923,37,180967.56,0.00
C1904979167,C2067685892,37,93083.27,0.00
C899260948,C1414206737,37,5979556.06,0.00
C1300586295,C786580223,37,128133.00,0.00
C140477383,C1169138113,37,503793.25,0.00
C2088582248,C534171533,38,448004.86,0.00
C151033820,C1303889891,38,90204.54,0.00
C1884262933,C69223691,38,21367.00,0.00
C1015615322,C503986394,38,2395.29,0.00
C1215509660,C96222488,38,7567170.36,0.00
C2049498532,C1540407960,38,3372.00,0.00
C739289668,C432663857,38,360688.30,0.00
C511306069,C1776402146,39,2070814.27,0.00
C492613437,C74971191,39,238717.50,0.00
C725825783,C236787500,39,18887.00,0.00
